PERMIT,HARVDATE,LOCATION,POTS,SOAKTIME,SHRIMP,STATAREA,GALLONS_PER_POT,POT_DAYS,WEEK
1055,8/19/2017,FAIRFIELD ISLAND WEST SIDE,4,12,1.5,,0.5,2,33
1205,5/28/2017,CONTAINER DOCKS,2,99,0.5,,0.5,8.25,22
1205,5/30/2017,CONTAINER DOCKS,2,30,0.75,,0.5,2.5,22
1205,6/10/2017,CONTAINER DOCKS,2,99,0.25,,0,8.25,23
1209,7/5/2017,WELLS BAY-HEAD,4,17,3.5,,1,2.833333333,27
1209,7/22/2017,WELLS BAY-HEAD,4,18,2.5,,0.5,3,29
1209,7/23/2017,WELLS BAY-HEAD,4,23,4,,1,3.833333333,30
1209,8/6/2017,WELLS BAY-HEAD,4,21,0.5,,0,3.5,32
1209,7/4/2017,WELLS BAY-MOUTH,4,5,1,,0.5,0.833333333,27
1219,5/7/2017,GRS,4,24,1,,0.5,4,19
1219,5/8/2017,GRS,4,24,1,,0.5,4,19
1219,5/9/2017,GRS,4,24,0.5,,0,4,19
1219,5/10/2017,GRS,4,24,0.5,,0,4,19
1219,5/11/2017,GRS,4,48,0.5,,0,8,19
1219,5/12/2017,GRS,4,11,0.5,,0,1.833333333,19
1219,5/13/2017,GRS,4,48,0.5,,0,8,19
1219,5/14/2017,GRS,4,24,0.5,,0,4,20
1219,5/16/2017,GRS,4,24,0.5,,0,4,20
1219,5/20/2017,GRS,4,24,0.5,,0,4,20
1219,5/24/2017,GRS,4,96,0.5,,0,16,21
1219,5/29/2017,GRS,4,120,0.5,,0,20,22
1219,6/2/2017,GRS,4,120,0.5,,0,20,22
1219,6/8/2017,GRS,4,144,1,,0.5,24,23
1222,5/12/2017,PWS NARROWS,4,48,2,,0.5,8,19
1222,5/20/2017,PWS NARROWS,4,48,3,,1,8,20
1222,5/23/2017,PWS NARROWS,4,48,2,,0.5,8,21
1224,5/20/2017,,4,8,2,,0.5,1.333333333,20
10012,7/29/2017,WELLS  PASSAGE,4,24,3,,1,4,30
10040,5/30/2017,HOGG,4,10,0.25,,0,1.666666667,22
10040,5/29/2017,HOGG,4,3,0,,0,0.5,22
10070,5/22/2017,"""",4,54,5,,1.5,9,21
10070,6/18/2017,"""",4,48,4,,1,8,25
10070,6/21/2017,"""",4,72,3.5,,1,12,25
10070,7/18/2017,"""",4,72,5,,1.5,12,29
10070,7/22/2017,"""",4,96,4,,1,16,29
10070,8/5/2017,"""",4,64,5,,1.5,10.66666667,31
10070,8/18/2017,"""",4,48,4,,1,8,33
10070,42973,"""",4,72,5,,1.5,12,34
10070,9/5/2017,"""",4,48,3.5,,1,8,36
10106,5/14/2017,SHADY COVE,4,48,16,,4,8,20
10110,42868,EAST SIDE NAKED ISLAND,4,8,0.1,,0,1.333333333,19
10126,6/10/2017, ALE HEAD CHRIST ISLAND,4,12,2,,0.5,2,23
10159,5/13/2017,LUCKY BAY,4,24,5,,1.5,4,19
10200,4/15/2017,SAME,4,12,1,,0.5,2,15
10200,4/16/2017,SAME,4,12,0.5,,0,2,16
10200,5/6/2017,SAME,4,12,0.5,,0,2,18
10200,6/3/2017,SAME,4,12,1,,0.5,2,22
10200,6/4/2017,SAME,4,12,1,,0.5,2,23
10200,6/24/2017,SAME,4,12,2,,0.5,2,25
10200,6/25/2017,SAME,4,12,2,,0.5,2,26
10200,7/3/2017,SAME,4,12,1,,0.5,2,27
10200,7/30/2017,SAME,4,12,1,,0.5,2,31
10200,8/5/2017,SAME,4,12,2,,0.5,2,31
10203,4/26/2017,DANETS HOLE,4,16,4,,1,2.666666667,17
10212,5/17/2017,SAME,4,24,1,,0.5,4,20
10212,5/18/2017,SAME,4,24,0.5,,0,4,20
10212,5/19/2017,SAME,4,24,0.5,,0,4,20
10212,5/20/2017,SAME,4,24,0.5,,0,4,20
10212,5/21/2017,SAME,4,24,1,,0.5,4,21
10212,5/22/2017,SAME,4,24,0.5,,0,4,21
10212,5/23/2017,SAME,4,24,2,,0.5,4,21
10212,5/24/2017,SAME,4,24,3,,1,4,21
10212,5/25/2017,SAME,4,24,2,,0.5,4,21
10212,5/26/2017,SAME,4,24,2,,0.5,4,21
10212,5/27/2017,SAME,4,24,2,,0.5,4,21
10212,5/28/2017,SAME,4,24,1.5,,0.5,4,22
10212,5/29/2017,SAME,4,24,3,,1,4,22
10216,7/30/2017,EDRINGTON PAS,4,24,3,,1,4,31
10216,7/29/2017,EDRINGTON PASS,4,24,3,,1,4,30
10221,5/28/2017,WHOLE BAY,4,24,1,,0.5,4,22
10224,6/23/2017,WALES BAY,4,24,4,,1,4,25
10224,6/24/2017,WALES BAY,4,24,4,,1,4,25
10260,7/12/2017,,4,48,2,,0.5,8,28
10260,5/24/2017,WHOLE BAY,4,24,2,,0.5,4,21
10319,7/14/2017,POINT WHALES,4,6,2,,0.5,1,28
10319,7/13/2017,POINT WHALES,4,6,3,,1,1,28
10319,7/30/2017,POINT WHALES,4,6,1,,0.5,1,31
10324,7/3/2017,DAY CARE BAY,2,22,0.5,,0.5,1.833333333,27
10342,5/10/2017,"""",4,10,10,,2.5,1.666666667,19
10342,5/11/2017,"""",4,10,2,,0.5,1.666666667,19
10342,5/12/2017,"""",4,10,6,,1.5,1.666666667,19
10342,5/13/2017,"""",4,10,1,,0.5,1.666666667,19
10371,7/31/2017,,4,12,3,,1,2,31
10372,8/4/2017,LEWIS BAY,4,20,0.2,,0,3.333333333,31
10384,4/15/2017,WELL'S BAY,4,10,9,,2.5,1.666666667,15
10384,4/16/2017,WELL'S BAY,4,12,4,,1,2,16
10384,4/17/2017,WELL'S BAY,4,30,6,,1.5,5,16
10384,4/18/2017,WELL'S BAY,4,14,4,,1,2.333333333,16
10384,4/19/2017,WELL'S BAY,4,15,1,,0.5,2.5,16
10414,6/25/2017,,4,8,25,,6.5,1.333333333,26
10448,5/21/2017,BURR POINT,4,12,2,,0.5,2,21
10469,4/17/2017,BAY,4,48,2,,0.5,8,16
10469,4/28/2017,BAY,4,48,2,,0.5,8,17
10469,5/5/2017,BAY,4,144,2,,0.5,24,18
10469,5/12/2017,BAY,4,144,3,,1,24,19
10469,5/19/2017,BAY,4,144,3,,1,24,20
10469,5/25/2017,BAY,4,144,2,,0.5,24,21
10469,6/2/2017,BAY,4,144,3,,1,24,22
10469,6/22/2017,BAY,4,144,2,,0.5,24,25
10469,7/2/2017,BAY,4,144,2,,0.5,24,27
10469,7/8/2017,BAY,4,144,2,,0.5,24,27
10469,7/14/2017,BAY,4,144,2,,0.5,24,28
10469,7/28/2017,BAY,4,144,3,,1,24,30
10469,8/4/2017,BAY,4,144,2,,0.5,24,31
10484,8/13/2017,HEAD OF RESURRECTION BAY,2,96,0,,0,8,33
10484,8/30/2017,HEAD OF RESURRECTION BAY,2,96,0,,0,8,35
10488,4/22/2017,"""",4,48,4,,1,8,16
10488,4/26/2017,"""",4,96,2,,0.5,16,17
10488,4/29/2017,"""",4,72,2,,0.5,12,17
10488,5/5/2017,"""",4,144,2,,0.5,24,18
10488,5/9/2017,"""",4,96,2,,0.5,16,19
10488,5/15/2017,"""",4,144,1,,0.5,24,20
10488,5/19/2017,"""",4,96,2,,0.5,16,20
10488,5/21/2017,"""",4,48,1,,0.5,8,21
10488,5/22/2017,"""",3,24,1,,0.5,3,21
10488,5/26/2017,"""",3,96,2,,0.5,12,21
10488,5/29/2017,"""",3,72,3,,1,9,22
10488,6/1/2017,"""",3,72,2,,0.5,9,22
10488,6/6/2017,"""",4,72,1,,0.5,12,23
10488,6/8/2017,"""",4,48,2,,0.5,8,23
10488,6/12/2017,"""",4,96,3,,1,16,24
10488,6/18/2017,"""",4,144,2,,0.5,24,25
10488,6/21/2017,"""",4,72,1,,0.5,12,25
10488,6/23/2017,"""",4,48,2,,0.5,8,25
10488,6/28/2017,""" ALL POTS AND LINE AND FLOATS MISSING",,120,0,,,,26
10498,7/5/2017,6 MILE BEACH,4,36,2,,0.5,6,27
10498,7/9/2017,6 MILE BEACH,4,36,2,,0.5,6,28
10498,7/24/2017,6 MILE BEACH,4,48,2,,0.5,8,30
10500,5/3/2017,RAGGED PT,4,24,2,,0.5,4,18
10587,4/22/2017,HARBOR,4,12,4,,1,2,16
10587,4/23/2017,HARBOR,4,18,3,,1,3,17
10587,4/15/2017,NEAR HARBOR,4,8,2,,0.5,1.333333333,15
10587,4/16/2017,NEAR HARBOR,4,12,1,,0.5,2,16
10598,4/15/2017,,2,24,1,,0.5,2,15
10645,4/23/2017,,,,0,,,,17
10645,4/15/2017,FERRY DOCK,4,,0,,0,,15
10670,6/21/2017,LUCKY BAY,2,8,0,,0,0.666666667,25
10745,7/20/2017,,,,0,,,,29
10777,7/15/2017,ZIEGLER,2,10,0.5,,0.5,0.833333333,28
10844,7/29/2017,,4,15,0.06,,0,2.5,30
10872,7/30/2017,3 FINGER COVE,4,18,4,,1,3,31
10872,8/7/2017,ARAGUNT BAY,3,24,5,,1.5,3,32
10872,8/8/2017,ARAGUNT BAY,3,12,2,,0.5,1.5,32
10890,5/12/2017,PERRY ISL - NORTH,4,4,2,,0.5,0.666666667,19
10890,6/1/2017,PERRY ISL - NORTH,4,8,2,,0.5,1.333333333,22
10890,7/12/2017,PERRY ISL - NORTH,4,6,2,,0.5,1,28
10890,7/22/2017,PERRY ISL - NORTH,4,10,2,,0.5,1.666666667,29
10890,7/29/2017,PERRY ISL - NORTH,4,5,1,,0.5,0.833333333,30
10890,7/30/2017,PERRY ISL - NORTH,4,12,2,,0.5,2,31
10890,9/11/2017,PERRY ISL - NORTH,4,3,2,,0.5,0.5,37
10901,5/16/2017,WELLS BAY 2,4,12,5,,1.5,2,20
10940,7/15/2017,BLUE LAGOON,4,48,2.5,,0.5,8,28
11016,5/1/2017,PORT,4,24,0.5,,0,4,18
11016,5/2/2017,PORT,4,24,1,,0.5,4,18
11016,5/3/2017,PORT,4,24,0.5,,0,4,18
11016,5/4/2017,PORT,4,24,0.5,,0,4,18
11029,5/13/2017,TAYLOR GLACIER,2,10,1.5,,1,0.833333333,19
11029,5/14/2017,TAYLOR GLACIER,2,12,1,,0.5,1,20
11072,6/24/2017,OLD TOWN,4,48,0.5,,0,8,25
11072,6/26/2017,OLD TOWN,4,48,1,,0.5,8,26
11072,6/28/2017,OLD TOWN,4,48,1,,0.5,8,26
11159,7/19/2017,ROOKERIE,4,12,2,,0.5,2,29
11182,6/26/2017,WELLS BAY (2),4,4,1,,0.5,0.666666667,26
11182,6/27/2017,WELLS BAY (2),4,6,0.5,,0,1,26
11182,6/26/2017,WELLS BAY 3,4,5,0.75,,0,0.833333333,26
11223,8/5/2017,BAY,2,12,4,,2,1,31
11223,8/7/2017,BAY,,12,0,,,,32
11253,5/13/2017,BAY,4,48,2,,0.5,8,19
11253,5/14/2017,BAY,4,24,1,,0.5,4,20
11295,6/16/2017,SAME AS ABOVE,4,36,4,,1,6,24
11295,6/18/2017,SAME AS ABOVE,4,48,2,,0.5,8,25
11295,7/3/2017,SAME AS ABOVE,4,24,3,,1,4,27
11295,7/4/2017,SAME AS ABOVE,4,24,1,,0.5,4,27
11295,7/9/2017,SAME AS ABOVE,4,60,2,,0.5,10,28
11295,7/10/2017,SAME AS ABOVE,4,24,2,,0.5,4,28
11295,7/15/2017,SAME AS ABOVE,4,5,1,,0.5,0.833333333,28
11295,7/16/2017,SAME AS ABOVE,4,24,1,,0.5,4,29
11295,7/22/2017,SAME AS ABOVE,4,84,3,,1,14,29
11295,7/30/2017,SAME AS ABOVE,4,6,1,,0.5,1,31
11306,5/22/2017,RUGBY ISLAND,4,16,2,,0.5,2.666666667,21
11328,6/24/2017,WELLS BAY (2),4,6,1,,0.5,1,25
11328,7/12/2017,WELLS BAY (2),4,10,1,,0.5,1.666666667,28
11328,7/13/2017,WELLS BAY (2),4,9,1,,0.5,1.5,28
11331,5/11/2017,BERTH S,4,48,1,,0.5,8,19
11331,5/14/2017,BERTH S,4,48,1,,0.5,8,20
11331,5/22/2017,BERTH S,4,48,0.5,,0,8,21
11331,5/25/2017,BERTH S,4,71,1,,0.5,11.83333333,21
11331,5/27/2017,BERTH S,4,48,1.5,,0.5,8,21
11331,6/8/2017,BERTH S,4,96,5,,1.5,16,23
11331,6/11/2017,BERTH S,4,72,5,,1.5,12,24
11331,7/5/2017,BERTH S,4,96,3,,1,16,27
11331,8/10/2017,BERTH S,4,72,1,,0.5,12,32
11331,8/16/2017,BERTH S,4,96,1,,0.5,16,33
11331,8/21/2017,BERTH S,4,96,1,,0.5,16,34
11331,8/26/2017,BERTH S,4,96,1,,0.5,16,34
11333,7/17/2017,CAGE ISLAND,4,19,2,,0.5,3.166666667,29
11350,6/11/2017,GRANITE,2,6,0.1,,0,0.5,24
11367,7/11/2017,VALDEZ/CORDOVA,2,12,0.01,,0,1,28
11387,8/5/2017,LONG CHANNEL/GOLD BAY,2,24,2,,1,2,31
11396,5/13/2017,"WELLS BAY, WEST SIDE, HALF WAY UP",3,8,3,,1,1,19
11450,7/10/2017,SHARK PT,1,12,0,,0,0.5,28
11466,6/3/2017,PORT WELLS- CORRECTING ERROR OF DOUBLE 06/04 ENTRY,4,24,1,,0.5,4,22
11501,5/27/2017,WELL'S BAY,4,16,2,,0.5,2.666666667,21
11501,5/30/2017,WELL'S BAY,4,12,2.5,,0.5,2,22
11501,5/31/2017,WELL'S BAY,4,12,3,,1,2,22
11532,7/3/2017," "".           """,4,120,4,,1,20,27
11532,7/26/2017,""".            """,4,48,2,,0.5,8,30
11563,6/1/2017,RESURRECTION BAY,3,8,0,,0,1,22
11573,5/15/2017,SAME,3,24,0.5,,0,3,20
11573,5/17/2017,SAME,3,48,0.5,,0,6,20
11573,5/20/2017,SAME,3,72,0,,0,9,20
11573,5/21/2017,SAME,3,24,0.125,,0,3,21
11573,5/29/2017,SAME,3,24,0.5,,0,3,22
11573,5/31/2017,SAME,3,48,0.75,,0.5,6,22
11573,6/2/2017,SAME,3,48,0.5,,0,6,22
11573,7/30/2017,SAME,3,48,1,,0.5,6,31
11573,8/5/2017,SAME,3,24,1.5,,0.5,3,31
11573,8/6/2017,SAME,3,24,1.5,,0.5,3,32
11573,8/26/2017,SAME,3,24,1,,0.5,3,34
11573,8/27/2017,SAME,3,24,1,,0.5,3,35
11573,8/28/2017,SAME,3,24,0.125,,0,3,35
11573,8/29/2017,SAME,3,24,0.5,,0,3,35
11573,9/3/2017,SAME,3,24,0.5,,0,3,36
11582,8/5/2017,PILOT BAY,4,12,2,,0.5,2,31
11583,6/7/2017,,4,24,0,,0,4,23
11583,5/26/2017,PWS PORT,4,48,0,,0,8,21
11583,5/28/2017,PWS PORT,4,48,0,,0,8,22
11583,5/30/2017,PWS PORT,4,48,0,,0,8,22
11583,6/1/2017,PWS PORT,4,48,0,,0,8,22
11583,6/2/2017,PWS PORT,4,24,1,,0.5,4,22
11583,6/4/2017,PWS PORT,4,48,1,,0.5,8,23
11583,6/6/2017,PWS PORT,4,48,0,,0,8,23
11599,5/15/2017,PILOT BAY,2,48,3,,1.5,4,20
11688,5/18/2017,DIRECTLY IN FRONT OF HARBOR,4,24,0.5,,0,4,20
11688,5/19/2017,DIRECTLY IN FRONT OF HARBOR,4,24,0.5,,0,4,20
11688,5/20/2017,DIRECTLY IN FRONT OF HARBOR,4,24,1.5,,0.5,4,20
11688,5/25/2017,DIRECTLY IN FRONT OF HARBOR,4,96,1.5,,0.5,16,21
11688,5/26/2017,DIRECTLY IN FRONT OF HARBOR,4,24,0.5,,0,4,21
11705,7/22/2017,,4,8,5,,1.5,1.333333333,29
11709,8/1/2017,PWS BERTH SOUTH,4,72,0.5,,0,12,31
11709,8/25/2017,PWS BERTH SOUTH,4,72,0.5,,0,12,34
11763,7/3/2017,PASSAG STRONG PACK,,,0,,,,27
11785,6/20/2017,PILOT BAY,4,72,2,,0.5,12,25
11866,7/8/2017,BAY,2,4,1,,0.5,0.333333333,27
11931,5/26/2017,FOX FARM BAY,2,8,0.2,,0,0.666666667,21
11950,5/31/2017,P.W. SOUND-JUST OUTSIDE NARROWS,4,36,2,,0.5,6,22
11950,6/2/2017,P.W. SOUND-JUST OUTSIDE OF NARROWS,4,30,2,,0.5,5,22
11994,7/15/2017,LUCKY BAY,4,24,5.5,,1.5,4,28
11994,7/16/2017,LUCKY BAY,4,14,1,,0.5,2.333333333,29
12017,8/12/2017,PUE BAY,4,6,2,,0.5,1,32
12070,6/25/2017,JACKPOT BAY (2),4,12,0.25,,0,2,26
12086,7/28/2017,COLORS PASSAGE,4,36,3,,1,6,30
12123,6/25/2017,SAME,4,72,4,,1,12,26
12123,7/7/2017,SAME,4,72,3,,1,12,27
12123,7/17/2017,SAME,4,24,2,,0.5,4,29
12123,8/8/2017,SAME,4,72,2,,0.5,12,32
12128,8/12/2017,TEST,4,12,3,,1,2,32
12175,7/2/2017,INSIDE OF GAGE ISLAND,4,48,1,,0.5,8,27
12248,6/14/2017,SAME,4,12,1.5,,0.5,2,24
12248,6/15/2017,SAME,4,12,0.5,,0,2,24
12248,6/16/2017,SAME,4,12,1.5,,0.5,2,24
12248,6/17/2017,SAME,4,12,1.5,,0.5,2,24
12248,6/18/2017,SAME,4,12,0.5,,0,2,25
12248,6/19/2017,SAME,4,24,1,,0.5,4,25
12248,7/8/2017,SAME,4,18,1.1,,0.5,3,27
12248,7/9/2017,SAME,4,23,0.75,,0,3.833333333,28
12248,7/10/2017,SAME,4,15,0.5,,0,2.5,28
12248,7/17/2017,SAME,4,15,0.3,,0,2.5,29
12248,7/18/2017,SAME,4,15,0.5,,0,2.5,29
12248,7/19/2017,SAME,4,24,0.7,,0,4,29
12248,7/21/2017,SAME,4,24,0.8,,0,4,29
12275,6/16/2017,FALLS,2,24,2,,1,2,24
12275,6/17/2017,FALLS,2,24,1,,0.5,2,24
12275,7/1/2017,FALLS,4,24,0.5,,0,4,26
12275,7/2/2017,FALLS,4,24,0.5,,0,4,27
12276,5/3/2017,BAY,2,12,1,,0.5,1,18
12276,6/5/2017,BAY,2,12,1,,0.5,1,23
12313,6/3/2017,BAY,4,6,1,,0.5,1,22
12313,6/6/2017,BAY,4,6,1,,0.5,1,23
12329,7/25/2017,SE CORNER OF GLACIER ISLAND,2,10,5,,2.5,0.833333333,30
12329,7/27/2017,SE CORNER OF GLACIER ISLAND,4,48,10,,2.5,8,30
12344,6/16/2017,JACKSON BAY,1,8,0.1,,0,0.333333333,24
12447,6/10/2017,KNIGHT ISLAND AREA,2,20,1,,0.5,1.666666667,23
12455,7/10/2017,BAY,3,8,0.5,,0,1,28
12483,6/21/2017,EAST CRAFTON ISLAND,4,24,0,,0,4,25
12548,6/16/2017,WELLS BAY (2),4,10,2.5,,0.5,1.666666667,24
12548,6/17/2017,WELLS BAY (2),4,4,2,,0.5,0.666666667,24
12548,6/18/2017,WELLS BAY (2),4,4,0.5,,0,0.666666667,25
12548,6/19/2017,WELLS BAY (2),4,8,1.5,,0.5,1.333333333,25
12548,6/18/2017,WELLS BAY 3,4,4,1.5,,0.5,0.666666667,25
12565,7/5/2017,MONTAGUE STOCKDALE HARBOR,4,18,0,,0,3,27
12567,6/28/2017,BAY,2,4,2,,1,0.333333333,26
12568,6/23/2017,PRINCE WILLIAM SOUND (WHITTIER),2,6,2,,1,0.5,25
12747,6/23/2017,SOUTH,2,12,0,,0,1,25
12757,7/5/2017,BAY,2,4,0.5,,0.5,0.333333333,27
12757,8/17/2017,BAY,3,5,1.5,,0.5,0.625,33
12838,7/18/2017,,,,0,,,,29
12929,7/4/2017,JOHNSTONE POINT,2,12,0,,0,1,27
12943,7/6/2017,OLD TOWN,2,6,0.25,,0,0.5,27
12943,7/7/2017,OLD TOWN,2,10,0.25,,0,0.833333333,27
12943,7/8/2017,OLD TOWN,2,12,0.25,,0,1,27
12963,7/8/2017,HEADLAND,5,9,0.25,,0,1.875,27
13042,7/27/2017,PRINCE WILLIAM,4,12,0.5,,0,2,30
13057,7/29/2017,BAY,4,24,1,,0.5,4,30
13110,8/21/2017,BLACK BAY?,3,10,4,,1.5,1.25,34
13173,8/12/2017,STRONG PT.,4,4,2.5,,0.5,0.666666667,32
13173,9/10/2017,STRONG PT.,4,45,2,,0.5,7.5,37
13198,6/20/2017,WHI,4,10,1,,0.5,1.666666667,25
13199,8/6/2017,WEST SIDE OF ESTER ISLAND OUT SIDE GRANITE BAY,3,4,1.5,,0.5,0.5,32
13206,8/4/2017,BAY,1,12,0,,0,0.5,31
13207,8/2/2017,BAY,2,10,0,,0,0.833333333,31
10044,6/17/2017,SIMPSON BAY,2,12,0.25,456031,0,1,24
10084,5/30/2017,SIMPSON BAY,2,12,0.06,456031,0,1,22
10508,8/1/2017,WINDY BAY,4,24,1,456031,0.5,4,31
10551,6/10/2017,CHANNEL ISLAND,4,8,0,456031,0,1.333333333,23
10551,6/11/2017,SIMPSON BAY,4,10,10,456031,2.5,1.666666667,24
10825,5/10/2017,SIMPSON BAY,4,9,1,456031,0.5,1.5,19
10846,6/12/2017,SIMPSON BAY,4,5,0,456031,0,0.833333333,24
10846,6/13/2017,SIMPSON BAY,4,12,0.5,456031,0,2,24
10846,6/24/2017,SIMPSON BAY,4,15,0.5,456031,0,2.5,25
11587,5/20/2017,SIMPSON BAY,3,24,1,456031,0.5,3,20
11587,5/30/2017,SIMPSON BAY,3,72,1,456031,0.5,9,22
11884,5/28/2017,SIMPSON BAY,4,72,0.5,456031,0,12,22
11884,5/31/2017,SIMPSON BAY,4,72,0.5,456031,0,12,22
11884,6/3/2017,SIMPSON BAY,4,72,0.25,456031,0,12,22
11884,6/7/2017,SIMPSON BAY,,,0,456031,,,23
11884,7/2/2017,SIMPSON BAY,,,0,456031,,,27
11884,9/13/2017,SIMPSON BAY,,,0,456031,,,37
11884,9/15/2017,SIMPSON BAY,4,48,0.25,456031,0,8,37
12378,8/1/2017,BOMB POINT,1,14,0.1,456031,0,0.583333333,31
12524,8/9/2017,SIMPSON BAY,2,14,0.5,456031,0.5,1.166666667,32
12613,9/3/2017,SIMPSON BAY,2,3,0,456031,0,0.25,36
12992,7/15/2017,SIMSON BAY,4,24,0.25,456031,0,4,28
12992,7/17/2017,SIMSON BAY,4,48,0.5,456031,0,8,29
13292,8/30/2017,SIMPSON BAY,2,6,1,456031,0.5,0.5,35
13296,8/31/2017,SIMPSON BAY,1,8,2,456031,2,0.333333333,35
13305,8/25/2017,SIMPSON BAY,2,,0,456031,0,,34
10265,6/10/2017,MIDDLETON ISLAND,4,38,2,465931,0.5,6.333333333,23
11549,5/25/2017,NORTH OF ANDERSON BAY,4,48,5,466003,1.5,8,21
11549,6/1/2017,NORTH OF ANDERSON BAY,4,48,1,466003,0.5,8,22
11612,5/13/2017,SHELTER BAY/ EVANS ISLAND,4,14,1.5,466003,0.5,2.333333333,19
11612,5/14/2017,SHELTER BAY/ EVANS ISLAND,4,14,3,466003,1,2.333333333,20
12928,7/7/2017,SHELTER BAY 2,4,8,1,466003,0.5,1.333333333,27
12928,7/8/2017,SHELTER BAY 2,4,8,1,466003,0.5,1.333333333,27
10238,4/26/2017,OLSEN BAY,4,8,2,466031,0.5,1.333333333,17
10846,5/29/2017,ORCA BAY,4,12,0.5,466031,0,2,22
10846,6/6/2017,ORCA BAY,4,12,0,466031,0,2,23
10846,6/16/2017,ORCA BAY,4,12,0,466031,0,2,24
10846,5/26/2017,PORT GRAVINA,4,3,0.5,466031,0,0.5,21
11184,7/15/2017,GRAVINA BAY,3,24,0.5,466031,0,3,28
11184,7/23/2017,GRAVINA BAY,3,24,0.5,466031,0,3,30
11184,8/5/2017,GRAVINA BAY,3,24,0.5,466031,0,3,31
11396,5/9/2017,"PORT GRAVINA, ACROSS FROM OLSEN BAY",3,4,0,466031,0,0.5,19
11396,5/7/2017,"PORT GRAVINA, MOUTH OF BEAR TRAP BAY",3,4,0,466031,0,0.5,19
11867,7/12/2017,GRAVINA BAY,4,20,3,466031,1,3.333333333,28
11906,6/7/2017,GRAVINA POINT,4,24,0,466031,0,4,23
12613,7/4/2017,COMFORT COVE,3,3,0.01,466031,0,0.375,27
12613,9/3/2017,COMFORT COVE,4,14,0.01,466031,0,2.333333333,36
1228,6/14/2017,GALENA BAY,4,12,1,466033,0.5,2,24
10157,7/5/2017,GALINA BAY,4,20,1,466033,0.5,3.333333333,27
10214,7/1/2017,BLIGH ISLAND,4,8,0,466033,0,1.333333333,26
10214,7/2/2017,TWO MOON BAY,4,8,0,466033,0,1.333333333,27
10243,8/1/2017,GALENA BAY,4,16,0.75,466033,0,2.666666667,31
10313,8/28/2017,"BUSBY ISLAND, NORTH END",4,24,2,466033,0.5,4,35
10334,4/16/2017,PORT FIDALGO,4,18,1,466033,0.5,3,16
10334,4/17/2017,PORT FIDALGO,4,24,3,466033,1,4,16
10334,7/4/2017,PORT FIDALGO,4,8,1,466033,0.5,1.333333333,27
10334,7/8/2017,PORT FIDALGO,4,72,3,466033,1,12,27
10334,7/9/2017,PORT FIDALGO,4,14,1,466033,0.5,2.333333333,28
10334,7/10/2017,PORT FIDALGO,4,36,3,466033,1,6,28
10334,7/11/2017,PORT FIDALGO,4,23,2,466033,0.5,3.833333333,28
10334,7/13/2017,PORT FIDALGO,4,36,2,466033,0.5,6,28
10345,6/25/2017,IRISH COVE,4,12,0.5,466033,0,2,26
10351,4/21/2017,GALENA BAY,4,6,0.5,466033,0,1,16
10351,4/22/2017,GALENA BAY,4,6,0.5,466033,0,1,16
10417,4/20/2017,GALENA,4,24,2,466033,0.5,4,16
10470,4/16/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,16
10470,4/17/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,16
10470,4/18/2017,N. W. BUSBY ISLAND,4,24,0.25,466033,0,4,16
10470,4/20/2017,N. W. BUSBY ISLAND,4,40,0.25,466033,0,6.666666667,16
10470,4/21/2017,N. W. BUSBY ISLAND,4,24,0,466033,0,4,16
10470,5/11/2017,N. W. BUSBY ISLAND,4,24,0,466033,0,4,19
10470,5/12/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,19
10470,5/13/2017,N. W. BUSBY ISLAND,4,24,0.5,466033,0,4,19
10470,5/14/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,20
10470,5/15/2017,N. W. BUSBY ISLAND,4,24,3,466033,1,4,20
10470,5/16/2017,N. W. BUSBY ISLAND,4,24,1,466033,0.5,4,20
10470,5/17/2017,N. W. BUSBY ISLAND,4,24,1,466033,0.5,4,20
10470,5/18/2017,N. W. BUSBY ISLAND,4,24,1,466033,0.5,4,20
10470,5/19/2017,N. W. BUSBY ISLAND,4,28,2,466033,0.5,4.666666667,20
10470,5/20/2017,N. W. BUSBY ISLAND,4,24,0.5,466033,0,4,20
10470,5/21/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,21
10470,5/23/2017,N. W. BUSBY ISLAND,4,36,1,466033,0.5,6,21
10470,5/24/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,21
10470,7/26/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,30
10470,7/27/2017,N. W. BUSBY ISLAND,4,24,3,466033,1,4,30
10470,7/28/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,30
10470,7/29/2017,N. W. BUSBY ISLAND,4,24,3,466033,1,4,30
10470,7/30/2017,N. W. BUSBY ISLAND,4,24,1,466033,0.5,4,31
10470,8/9/2017,N. W. BUSBY ISLAND,4,24,0.5,466033,0,4,32
10470,8/10/2017,N. W. BUSBY ISLAND,4,24,1,466033,0.5,4,32
10470,8/11/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,32
10470,8/16/2017,N. W. BUSBY ISLAND,4,24,1,466033,0.5,4,33
10470,8/19/2017,N. W. BUSBY ISLAND,4,24,2,466033,0.5,4,33
